"","location","colonies","cfu_ml","salinity","season","date_plated","date_counted","dilution","replicate","cfu_g","lat","long","mean_cfu","sd_cfu"
"1","PL",25,250,10.8,"1",NA,NA,NA,NA,NA,NA,NA,210,29.4392028877595
"2","PL",21,210,10.8,"1",NA,NA,NA,NA,NA,NA,NA,210,29.4392028877595
"3","PL",24,240,10.8,"1",NA,NA,NA,NA,NA,NA,NA,210,29.4392028877595
"4","PL",20,200,10.8,"1",NA,NA,NA,NA,NA,NA,NA,210,29.4392028877595
"5","PL",22,220,10.8,"1",NA,NA,NA,NA,NA,NA,NA,210,29.4392028877595
"6","PL",17,170,10.8,"1",NA,NA,NA,NA,NA,NA,NA,210,29.4392028877595
"7","PL",18,180,10.8,"1",NA,NA,NA,NA,NA,NA,NA,210,29.4392028877595
"8","CM",2,20,0.1,"1",NA,NA,NA,NA,NA,NA,NA,17,18.2878222991269
"9","CM",0,0,0.1,"1",NA,NA,NA,NA,NA,NA,NA,17,18.2878222991269
"10","CM",1,10,0.1,"1",NA,NA,NA,NA,NA,NA,NA,17,18.2878222991269
"11","CM",2,20,0.1,"1",NA,NA,NA,NA,NA,NA,NA,17,18.2878222991269
"12","CM",0,0,0.1,"1",NA,NA,NA,NA,NA,NA,NA,17,18.2878222991269
"13","CM",0,0,0.1,"1",NA,NA,NA,NA,NA,NA,NA,17,18.2878222991269
"14","CM",4,40,0.1,"1",NA,NA,NA,NA,NA,NA,NA,17,18.2878222991269
"15","CM",3,30,0.1,"1",NA,NA,NA,NA,NA,NA,NA,17,18.2878222991269
"16","CM",5,50,0.1,"1",NA,NA,NA,NA,NA,NA,NA,17,18.2878222991269
"17","CM",0,0,0.1,"1",NA,NA,NA,NA,NA,NA,NA,17,18.2878222991269
"18","SW",6,60,0.1,"1",NA,NA,NA,NA,NA,NA,NA,67,30.9300285590988
"19","SW",4,40,0.1,"1",NA,NA,NA,NA,NA,NA,NA,67,30.9300285590988
"20","SW",10,100,0.1,"1",NA,NA,NA,NA,NA,NA,NA,67,30.9300285590988
"21","SW",10,100,0.1,"1",NA,NA,NA,NA,NA,NA,NA,67,30.9300285590988
"22","SW",6,60,0.1,"1",NA,NA,NA,NA,NA,NA,NA,67,30.9300285590988
"23","SW",11,110,0.1,"1",NA,NA,NA,NA,NA,NA,NA,67,30.9300285590988
"24","SW",2,20,0.1,"1",NA,NA,NA,NA,NA,NA,NA,67,30.9300285590988
"25","SW",5,50,0.1,"1",NA,NA,NA,NA,NA,NA,NA,67,30.9300285590988
"26","SW",4,40,0.1,"1",NA,NA,NA,NA,NA,NA,NA,67,30.9300285590988
"27","SW",9,90,0.1,"1",NA,NA,NA,NA,NA,NA,NA,67,30.9300285590988
"28","CP",18,180,1.5,"1",NA,NA,NA,NA,NA,NA,NA,369,119.391978141098
"29","CP",22,220,1.5,"1",NA,NA,NA,NA,NA,NA,NA,369,119.391978141098
"30","CP",23,230,1.5,"1",NA,NA,NA,NA,NA,NA,NA,369,119.391978141098
"31","CP",37,370,1.5,"1",NA,NA,NA,NA,NA,NA,NA,369,119.391978141098
"32","CP",46,460,1.5,"1",NA,NA,NA,NA,NA,NA,NA,369,119.391978141098
"33","CP",48,480,1.5,"1",NA,NA,NA,NA,NA,NA,NA,369,119.391978141098
"34","CP",44,440,1.5,"1",NA,NA,NA,NA,NA,NA,NA,369,119.391978141098
"35","CP",52,520,1.5,"1",NA,NA,NA,NA,NA,NA,NA,369,119.391978141098
"36","CP",37,370,1.5,"1",NA,NA,NA,NA,NA,NA,NA,369,119.391978141098
"37","CP",42,420,1.5,"1",NA,NA,NA,NA,NA,NA,NA,369,119.391978141098
"38","NN",16,160,8,"1",NA,NA,NA,NA,NA,NA,NA,189,109.893888213434
"39","NN",6,60,8,"1",NA,NA,NA,NA,NA,NA,NA,189,109.893888213434
"40","NN",6,60,8,"1",NA,NA,NA,NA,NA,NA,NA,189,109.893888213434
"41","NN",10,100,8,"1",NA,NA,NA,NA,NA,NA,NA,189,109.893888213434
"42","NN",15,150,8,"1",NA,NA,NA,NA,NA,NA,NA,189,109.893888213434
"43","NN",23,230,8,"1",NA,NA,NA,NA,NA,NA,NA,189,109.893888213434
"44","NN",34,340,8,"1",NA,NA,NA,NA,NA,NA,NA,189,109.893888213434
"45","NN",35,350,8,"1",NA,NA,NA,NA,NA,NA,NA,189,109.893888213434
"46","NN",14,140,8,"1",NA,NA,NA,NA,NA,NA,NA,189,109.893888213434
"47","NN",30,300,8,"1",NA,NA,NA,NA,NA,NA,NA,189,109.893888213434
"48","CM",108,10800,0.1,"2",2022-11-18,2022-11-22,"10-1",1,1080,38.614505,-77.11303,11466.6666666667,1795.36440126603
"49","CM",135,13500,0.1,"2",2022-11-18,2022-11-22,"10-1",2,1350,38.614505,-77.11303,11466.6666666667,1795.36440126603
"50","CM",101,10100,0.1,"2",2022-11-18,2022-11-22,"10-1",3,1010,38.614505,-77.11303,11466.6666666667,1795.36440126603
"51","NN",13,1300,9.2,"2",2022-11-18,2022-11-22,"10-1",1,130,38.23383,-76.711242,1666.66666666667,351.188458428425
"52","NN",17,1700,9.2,"2",2022-11-18,2022-11-22,"10-1",2,170,38.23383,-76.711242,1666.66666666667,351.188458428425
"53","NN",20,2000,9.2,"2",2022-11-18,2022-11-22,"10-1",3,200,38.23383,-76.711242,1666.66666666667,351.188458428425
"54","CP",22,2200,4.7,"2",2022-11-18,2022-11-22,"10-1",1,220,38.464899,-77.030199,2300,264.575131106459
"55","CP",21,2100,4.7,"2",2022-11-18,2022-11-22,"10-1",2,210,38.464899,-77.030199,2300,264.575131106459
"56","CP",26,2600,4.7,"2",2022-11-18,2022-11-22,"10-1",3,260,38.464899,-77.030199,2300,264.575131106459
"57","PL",38,3800,13,"2",2022-11-18,2022-11-22,"10-1",1,380,38.049161,-76.326663,3566.66666666667,493.288286231625
"58","PL",39,3900,13,"2",2022-11-18,2022-11-22,"10-1",2,390,38.049161,-76.326663,3566.66666666667,493.288286231625
"59","PL",30,3000,13,"2",2022-11-18,2022-11-22,"10-1",3,300,38.049161,-76.326663,3566.66666666667,493.288286231625
